# set-167-bprime — pin recette (priorityRank<=167, figé 2026-08-02). Généré par scripts/build-set-167-bprime-cohort.mjs depuis work/coverage/cohort-slugs-canonical.json (contract cohort-slugs-canonical/v1). slug = forme plate (clé servie qc-zoning-events-<slug>, axe audit/inventaire, InventorySchema) ; graph_city_slug = forme canonique double-tiret (clé S3 graph/, axe recall-gate). NE PAS éditer à la main — relancer le générateur.
slug	graph_city_slug
westmount	westmount
saint-lambert	saint-lambert
hampstead	hampstead
mont-royal	mont-royal
montreal-ouest	montreal-ouest
cote-saint-luc	cote-saint-luc
longueuil	longueuil
brossard	brossard
sainte-catherine	sainte-catherine
la-prairie	la-prairie
delson	delson
candiac	candiac
montreal-est	montreal-est
boucherville	boucherville
dorval	dorval
lile-dorval	lile-dorval
saint-constant	saint-constant
saint-bruno-de-montarville	saint-bruno-de-montarville
carignan	carignan
dollard-des-ormeaux	dollard-des-ormeaux
pointe-claire	pointe-claire
saint-philippe	saint-philippe
saint-mathieu	saint-mathieu
chateauguay	chateauguay
sainte-julie	sainte-julie
saint-basile-le-grand	saint-basile-le-grand
chambly	chambly
rosemere	rosemere
varennes	varennes
kirkland	kirkland
bois-des-filion	bois-des-filion
saint-isidore-roussillon	saint-isidore--roussillon
beaconsfield	beaconsfield
lorraine	lorraine
lery	lery
mercier	mercier
charlemagne	charlemagne
boisbriand	boisbriand
deux-montagnes	deux-montagnes
mcmasterville	mcmasterville
sainte-therese	sainte-therese
saint-mathias-sur-richelieu	saint-mathias-sur-richelieu
saint-mathieu-de-beloeil	saint-mathieu-de-beloeil
saint-amable	saint-amable
terrebonne	terrebonne
saint-remi	saint-remi
otterburn-park	otterburn-park
saint-jacques-le-mineur	saint-jacques-le-mineur
richelieu	richelieu
beloeil	beloeil
baie-durfe	baie-durfe
sainte-marthe-sur-le-lac	sainte-marthe-sur-le-lac
saint-jean-sur-richelieu	saint-jean-sur-richelieu
mascouche	mascouche
saint-eustache	saint-eustache
notre-dame-de-lile-perrot	notre-dame-de-lile-perrot
repentigny	repentigny
saint-edouard	saint-edouard
sainte-anne-de-bellevue	sainte-anne-de-bellevue
saint-michel	saint-michel
blainville	blainville
pointe-calumet	pointe-calumet
mont-saint-hilaire	mont-saint-hilaire
senneville	senneville
marieville	marieville
lile-perrot	lile-perrot
vercheres	vercheres
saint-marc-sur-richelieu	saint-marc-sur-richelieu
sainte-martine	sainte-martine
beauharnois	beauharnois
sainte-anne-des-plaines	sainte-anne-des-plaines
saint-urbain-premier	saint-urbain-premier
terrasse-vaudreuil	terrasse-vaudreuil
saint-joseph-du-lac	saint-joseph-du-lac
