# source	/home/antoinefa/src/radar-immobilier/tmp/handoff/jointures-designation-events-6.ndjson
# date	2026-08-02
# total_lines	267
node_type	kind	count	cities
DesignationEvent	cptaq	1	coaticook:1
DesignationEvent	derogation	7	coaticook:3,saint-raymond:3,sutton:1
DesignationEvent	derogation_mineure	2	saint-mathieu-de-beloeil:2
DesignationEvent	modification_reglementation	1	saint-mathieu-de-beloeil:1
DesignationEvent	modification_zonage	62	saint-eustache:50,saint-mathieu-de-beloeil:12
DesignationEvent	piia	3	saint-mathieu-de-beloeil:3
DesignationEvent	ppcmoi	2	coaticook:1,sutton:1
DesignationEvent	rezonage	7	coaticook:1,saint-raymond:5,sutton:1
Signal	densification	3	coaticook:1,saint-raymond:2
Signal	derogation_mineure	114	saint-eustache:114
Signal	exclusion_zone_agricole	1	sutton:1
Signal	extension_zone_commerciale	1	coaticook:1
Signal	logement_abordable	1	saint-mathieu-de-beloeil:1
Signal	modification_usages_industriels	1	saint-mathieu-de-beloeil:1
Signal	modification_zonage	50	saint-eustache:50
Signal	plan_amenagement_ensemble	1	saint-mathieu-de-beloeil:1
Signal	ppcmoi	7	saint-eustache:7
Signal	programme_municipal	1	saint-raymond:1
Signal	refonte_reglementaire	1	sutton:1
Signal	usage_mixte_agricole_industriel	1	saint-mathieu-de-beloeil:1
