name,slug,mrc,state,source_status,source_as_of,basis
Belleterre,belleterre,Témiscamingue,unknown,to-research,2026-06-23T05:45:22.715Z,coverage PV status is to-research; research is not complete
Bonne-Espérance,bonne-esperance,Le Golfe-du-Saint-Laurent,unknown,to-research,2026-06-23T05:54:56.463Z,coverage PV status is to-research; research is not complete
Bryson,bryson,Pontiac,unknown,to-research,2026-06-23T05:35:29.546Z,coverage PV status is to-research; research is not complete
Caniapiscau,caniapiscau,,unknown,to-research,2026-06-23T05:54:48.047Z,coverage PV status is to-research; research is not complete
Chapais,chapais,,unknown,to-research,2026-06-23T05:46:57.572Z,coverage PV status is to-research; research is not complete
Charette,charette,Maskinongé,incomplete,planned,2026-06-23T05:19:45.736Z,coverage PV status is planned; planned is not complete
Colombier,colombier,La Haute-Côte-Nord,unknown,to-research,2026-06-23T05:48:30.185Z,coverage PV status is to-research; research is not complete
Côte-Nord-du-Golfe-du-Saint-Laurent,cote-nord-du-golfe-du-saint-laurent,Le Golfe-du-Saint-Laurent,unknown,to-research,2026-06-23T05:54:51.251Z,coverage PV status is to-research; research is not complete
Eeyou Istchee James Bay,eeyou-istchee-james-bay,,unknown,to-research,2026-06-23T05:53:58.397Z,coverage PV status is to-research; research is not complete
Ferland-et-Boilleau,ferland-et-boilleau,Le Fjord-du-Saguenay,unknown,to-research,2026-06-23T05:41:17.765Z,coverage PV status is to-research; research is not complete
Gros-Mécatina,gros-mecatina,Le Golfe-du-Saint-Laurent,unknown,to-research,2026-06-23T05:54:53.098Z,coverage PV status is to-research; research is not complete
L'Île-Dorval,lile-dorval,,unknown,to-research,2026-06-23T05:00:40.862Z,coverage PV status is to-research; research is not complete
La Visitation-de-l'Île-Dupas,la-visitation-de-lile-dupas,D'Autray,unknown,to-research,2026-06-23T05:12:38.810Z,coverage PV status is to-research; research is not complete
Les Méchins,les-mechins,La Matanie,unknown,to-research,2026-06-23T05:52:19.147Z,coverage PV status is to-research; research is not complete
Lochaber,lochaber,Papineau,unknown,to-research,2026-06-23T05:22:07.873Z,coverage PV status is to-research; research is not complete
Moffet,moffet,Témiscamingue,unknown,to-research,2026-06-23T05:46:10.233Z,coverage PV status is to-research; research is not complete
Mont-Saint-Pierre,mont-saint-pierre,La Haute-Gaspésie,unknown,to-research,2026-06-23T05:53:32.078Z,coverage PV status is to-research; research is not complete
Notre-Dame-des-Anges,notre-dame-des-anges,,unknown,to-research,2026-06-23T05:34:55.691Z,coverage PV status is to-research; research is not complete
Notre-Dame-du-Nord,notre-dame-du-nord,Témiscamingue,unknown,to-research,2026-06-23T05:48:00.130Z,coverage PV status is to-research; research is not complete
Rivière-Éternité,riviere-eternite,Le Fjord-du-Saguenay,unknown,to-research,2026-06-23T05:42:21.081Z,coverage PV status is to-research; research is not complete
Rivière-Saint-Jean,riviere-saint-jean,Minganie,unknown,to-research,2026-06-23T05:54:16.010Z,coverage PV status is to-research; research is not complete
Saint-André-du-Lac-Saint-Jean,saint-andre-du-lac-saint-jean,Le Domaine-du-Roy,unknown,to-research,2026-06-23T05:40:25.798Z,coverage PV status is to-research; research is not complete
Saint-Augustin,saint-augustin--maria-chapdelaine,Maria-Chapdelaine,unknown,to-research,2026-06-23T05:42:36.142Z,coverage PV status is to-research; research is not complete
Saint-Benoît-du-Lac,saint-benoit-du-lac,Memphrémagog,unknown,to-research,2026-06-23T05:18:37.189Z,coverage PV status is to-research; research is not complete
Saint-Clet,saint-clet,Vaudreuil-Soulanges,unknown,to-research,2026-06-23T11:26:32.902Z,coverage PV status is to-research; research is not complete
Saint-Dominique-du-Rosaire,saint-dominique-du-rosaire,Abitibi,unknown,to-research,2026-06-23T05:47:46.319Z,coverage PV status is to-research; research is not complete
Saint-Édouard-de-Fabre,saint-edouard-de-fabre,Témiscamingue,unknown,to-research,2026-06-23T05:46:45.594Z,coverage PV status is to-research; research is not complete
Saint-Elphège,saint-elphege,Nicolet-Yamaska,unknown,to-research,2026-06-23T05:15:22.160Z,coverage PV status is to-research; research is not complete
Saint-Eugène-d'Argentenay,saint-eugene-dargentenay,Maria-Chapdelaine,unknown,to-research,2026-06-23T05:43:22.695Z,coverage PV status is to-research; research is not complete
Saint-Guy,saint-guy,,unknown,to-research,2026-06-23T05:45:54.268Z,coverage PV status is to-research; research is not complete
Saint-Jean-de-l'Île-d'Orléans,saint-jean-de-lile-dorleans,L'Île-d'Orléans,unknown,to-research,2026-06-23T05:37:53.758Z,coverage PV status is to-research; research is not complete
Saint-Lambert,saint-lambert--abitibi-ouest,Abitibi-Ouest,unknown,to-research,2026-06-23T05:51:55.596Z,coverage PV status is to-research; research is not complete
Saint-Louis-de-Gonzague-du-Cap-Tourmente,saint-louis-de-gonzague-du-cap-tourmente,La Côte-de-Beaupré,unknown,to-research,2026-06-23T05:38:30.737Z,coverage PV status is to-research; research is not complete
Saint-Médard,saint-medard,Les Basques,unknown,to-research,2026-06-23T05:45:47.417Z,coverage PV status is to-research; research is not complete
Saint-Octave-de-Métis,saint-octave-de-metis,La Mitis,unknown,to-research,2026-06-23T05:49:19.380Z,coverage PV status is to-research; research is not complete
Saint-Pierre-de-la-Rivière-du-Sud,saint-pierre-de-la-riviere-du-sud,Montmagny,unknown,to-research,2026-06-23T05:38:32.339Z,coverage PV status is to-research; research is not complete
Saint-Tharcisius,saint-tharcisius,La Matapédia,unknown,to-research,2026-06-23T05:51:46.966Z,coverage PV status is to-research; research is not complete
Sainte-Hedwidge,sainte-hedwidge,Le Domaine-du-Roy,unknown,to-research,2026-06-23T05:40:22.235Z,coverage PV status is to-research; research is not complete
