city_slug,immo_source_slug,lots_served_status,lots_served_reason,lots_served_observed_lots,surface_m2_status,surface_m2_reason,surface_m2_observed_lots,surface_m2_completed_lots,postal_code_status,postal_code_reason,postal_code_observed_lots,postal_code_completed_lots,civic_address_status,civic_address_reason,civic_address_observed_lots,civic_address_completed_lots,tod_applicability_status,tod_applicability_reason,tod_completion_status,tod_completion_reason,tod_completion_observed_lots,tod_completion_joined_lots,tod_completion_in_tod_lots
abercorn,abercorn,complete,Canonical local Immo perMuni stats row is present and reports 455 served lots.,455,complete,Local Immo stats report 455/455 lots with surface_m2.,455,455,complete,Local Immo stats report 455/455 lots with code_postal.,455,455,incomplete,Local Immo stats report 454/455 lots with civic address.,455,454,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
acton-vale,acton-vale,complete,Canonical local Immo perMuni stats row is present and reports 4273 served lots.,4273,complete,Local Immo stats report 4273/4273 lots with surface_m2.,4273,4273,complete,Local Immo stats report 4273/4273 lots with code_postal.,4273,4273,incomplete,Local Immo stats report 4223/4273 lots with civic address.,4273,4223,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
adstock,adstock,complete,Canonical local Immo perMuni stats row is present and reports 3345 served lots.,3345,complete,Local Immo stats report 3345/3345 lots with surface_m2.,3345,3345,complete,Local Immo stats report 3345/3345 lots with code_postal.,3345,3345,incomplete,Local Immo stats report 3263/3345 lots with civic address.,3345,3263,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
aguanish,aguanish,complete,Canonical local Immo perMuni stats row is present and reports zero lots.,0,N/A,Canonical local Immo stats report zero lots; surface_m2 has no per-lot denominator.,0,,N/A,Canonical local Immo stats report zero lots; code_postal has no per-lot denominator.,0,,N/A,Canonical local Immo stats report zero lots; civic address has no per-lot denominator.,0,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
albanel,albanel,complete,Canonical local Immo perMuni stats row is present and reports 1531 served lots.,1531,complete,Local Immo stats report 1531/1531 lots with surface_m2.,1531,1531,complete,Local Immo stats report 1531/1531 lots with code_postal.,1531,1531,incomplete,Local Immo stats report 1411/1531 lots with civic address.,1531,1411,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
albertville,albertville,complete,Canonical local Immo perMuni stats row is present and reports 637 served lots.,637,complete,Local Immo stats report 637/637 lots with surface_m2.,637,637,complete,Local Immo stats report 637/637 lots with code_postal.,637,637,incomplete,Local Immo stats report 543/637 lots with civic address.,637,543,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
alleyn-et-cawood,alleyn-et-cawood,complete,Canonical local Immo perMuni stats row is present and reports 892 served lots.,892,complete,Local Immo stats report 892/892 lots with surface_m2.,892,892,complete,Local Immo stats report 892/892 lots with code_postal.,892,892,incomplete,Local Immo stats report 851/892 lots with civic address.,892,851,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
alma,alma,complete,Canonical local Immo perMuni stats row is present and reports 11838 served lots.,11838,complete,Local Immo stats report 11838/11838 lots with surface_m2.,11838,11838,complete,Local Immo stats report 11838/11838 lots with code_postal.,11838,11838,incomplete,Local Immo stats report 10766/11838 lots with civic address.,11838,10766,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
amherst,amherst,complete,Canonical local Immo perMuni stats row is present and reports 1833 served lots.,1833,complete,Local Immo stats report 1833/1833 lots with surface_m2.,1833,1833,complete,Local Immo stats report 1833/1833 lots with code_postal.,1833,1833,incomplete,Local Immo stats report 1825/1833 lots with civic address.,1833,1825,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
amos,amos,complete,Canonical local Immo perMuni stats row is present and reports 515 served lots.,515,complete,Local Immo stats report 515/515 lots with surface_m2.,515,515,complete,Local Immo stats report 515/515 lots with code_postal.,515,515,incomplete,Local Immo stats report 508/515 lots with civic address.,515,508,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
amqui,amqui,complete,Canonical local Immo perMuni stats row is present and reports 4191 served lots.,4191,complete,Local Immo stats report 4191/4191 lots with surface_m2.,4191,4191,complete,Local Immo stats report 4191/4191 lots with code_postal.,4191,4191,incomplete,Local Immo stats report 3633/4191 lots with civic address.,4191,3633,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ange-gardien,ange-gardien,complete,Canonical local Immo perMuni stats row is present and reports 1555 served lots.,1555,complete,Local Immo stats report 1555/1555 lots with surface_m2.,1555,1555,complete,Local Immo stats report 1555/1555 lots with code_postal.,1555,1555,incomplete,Local Immo stats report 1403/1555 lots with civic address.,1555,1403,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
armagh,armagh,complete,Canonical local Immo perMuni stats row is present and reports 1549 served lots.,1549,complete,Local Immo stats report 1549/1549 lots with surface_m2.,1549,1549,complete,Local Immo stats report 1549/1549 lots with code_postal.,1549,1549,incomplete,Local Immo stats report 1398/1549 lots with civic address.,1549,1398,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
arundel,arundel,complete,Canonical local Immo perMuni stats row is present and reports 848 served lots.,848,complete,Local Immo stats report 848/848 lots with surface_m2.,848,848,complete,Local Immo stats report 848/848 lots with code_postal.,848,848,incomplete,Local Immo stats report 799/848 lots with civic address.,848,799,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ascot-corner,ascot-corner,complete,Canonical local Immo perMuni stats row is present and reports 2175 served lots.,2175,complete,Local Immo stats report 2175/2175 lots with surface_m2.,2175,2175,complete,Local Immo stats report 2175/2175 lots with code_postal.,2175,2175,incomplete,Local Immo stats report 1927/2175 lots with civic address.,2175,1927,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
aston-jonction,aston-jonction,complete,Canonical local Immo perMuni stats row is present and reports 341 served lots.,341,complete,Local Immo stats report 341/341 lots with surface_m2.,341,341,complete,Local Immo stats report 341/341 lots with code_postal.,341,341,incomplete,Local Immo stats report 310/341 lots with civic address.,341,310,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
auclair,auclair,complete,Canonical local Immo perMuni stats row is present and reports 541 served lots.,541,complete,Local Immo stats report 541/541 lots with surface_m2.,541,541,complete,Local Immo stats report 541/541 lots with code_postal.,541,541,incomplete,Local Immo stats report 480/541 lots with civic address.,541,480,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
audet,audet,complete,Canonical local Immo perMuni stats row is present and reports 759 served lots.,759,complete,Local Immo stats report 759/759 lots with surface_m2.,759,759,complete,Local Immo stats report 759/759 lots with code_postal.,759,759,incomplete,Local Immo stats report 690/759 lots with civic address.,759,690,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
aumond,aumond,complete,Canonical local Immo perMuni stats row is present and reports 1074 served lots.,1074,complete,Local Immo stats report 1074/1074 lots with surface_m2.,1074,1074,complete,Local Immo stats report 1074/1074 lots with code_postal.,1074,1074,incomplete,Local Immo stats report 1065/1074 lots with civic address.,1074,1065,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
austin,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
authier,authier,complete,Canonical local Immo perMuni stats row is present and reports 508 served lots.,508,complete,Local Immo stats report 508/508 lots with surface_m2.,508,508,complete,Local Immo stats report 508/508 lots with code_postal.,508,508,incomplete,Local Immo stats report 506/508 lots with civic address.,508,506,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
authier-nord,authier-nord,complete,Canonical local Immo perMuni stats row is present and reports 79 served lots.,79,complete,Local Immo stats report 79/79 lots with surface_m2.,79,79,complete,Local Immo stats report 79/79 lots with code_postal.,79,79,complete,Local Immo stats report 79/79 lots with civic address.,79,79,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ayers-cliff,ayers-cliff,complete,Canonical local Immo perMuni stats row is present and reports 978 served lots.,978,complete,Local Immo stats report 978/978 lots with surface_m2.,978,978,complete,Local Immo stats report 978/978 lots with code_postal.,978,978,incomplete,Local Immo stats report 849/978 lots with civic address.,978,849,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-comeau,baie-comeau,complete,Canonical local Immo perMuni stats row is present and reports 2443 served lots.,2443,complete,Local Immo stats report 2443/2443 lots with surface_m2.,2443,2443,complete,Local Immo stats report 2443/2443 lots with code_postal.,2443,2443,incomplete,Local Immo stats report 2433/2443 lots with civic address.,2443,2433,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-des-sables,baie-des-sables,complete,Canonical local Immo perMuni stats row is present and reports 1112 served lots.,1112,complete,Local Immo stats report 1112/1112 lots with surface_m2.,1112,1112,complete,Local Immo stats report 1112/1112 lots with code_postal.,1112,1112,incomplete,Local Immo stats report 1049/1112 lots with civic address.,1112,1049,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-du-febvre,baie-du-febvre,complete,Canonical local Immo perMuni stats row is present and reports 929 served lots.,929,complete,Local Immo stats report 929/929 lots with surface_m2.,929,929,complete,Local Immo stats report 929/929 lots with code_postal.,929,929,incomplete,Local Immo stats report 869/929 lots with civic address.,929,869,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-durfe,baie-durfe,complete,Canonical local Immo perMuni stats row is present and reports 1730 served lots.,1730,complete,Local Immo stats report 1730/1730 lots with surface_m2.,1730,1730,complete,Local Immo stats report 1730/1730 lots with code_postal.,1730,1730,incomplete,Local Immo stats report 1511/1730 lots with civic address.,1730,1511,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/1730 lots joined (0 lots in TOD).,1730,0,0
baie-johan-beetz,baie-johan-beetz,complete,Canonical local Immo perMuni stats row is present and reports 133 served lots.,133,complete,Local Immo stats report 133/133 lots with surface_m2.,133,133,complete,Local Immo stats report 133/133 lots with code_postal.,133,133,incomplete,Local Immo stats report 115/133 lots with civic address.,133,115,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-saint-paul,baie-saint-paul,complete,Canonical local Immo perMuni stats row is present and reports 895 served lots.,895,complete,Local Immo stats report 895/895 lots with surface_m2.,895,895,complete,Local Immo stats report 895/895 lots with code_postal.,895,895,incomplete,Local Immo stats report 848/895 lots with civic address.,895,848,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-sainte-catherine,baie-sainte-catherine,complete,Canonical local Immo perMuni stats row is present and reports 317 served lots.,317,complete,Local Immo stats report 317/317 lots with surface_m2.,317,317,complete,Local Immo stats report 317/317 lots with code_postal.,317,317,incomplete,Local Immo stats report 272/317 lots with civic address.,317,272,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
baie-trinite,baie-trinite,complete,Canonical local Immo perMuni stats row is present and reports 411 served lots.,411,complete,Local Immo stats report 411/411 lots with surface_m2.,411,411,complete,Local Immo stats report 411/411 lots with code_postal.,411,411,incomplete,Local Immo stats report 406/411 lots with civic address.,411,406,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
barkmere,barkmere,complete,Canonical local Immo perMuni stats row is present and reports 549 served lots.,549,complete,Local Immo stats report 549/549 lots with surface_m2.,549,549,complete,Local Immo stats report 549/549 lots with code_postal.,549,549,incomplete,Local Immo stats report 548/549 lots with civic address.,549,548,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
barnston-ouest,barnston-ouest,complete,Canonical local Immo perMuni stats row is present and reports 650 served lots.,650,complete,Local Immo stats report 650/650 lots with surface_m2.,650,650,complete,Local Immo stats report 650/650 lots with code_postal.,650,650,incomplete,Local Immo stats report 542/650 lots with civic address.,650,542,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
barraute,barraute,complete,Canonical local Immo perMuni stats row is present and reports 1428 served lots.,1428,complete,Local Immo stats report 1428/1428 lots with surface_m2.,1428,1428,complete,Local Immo stats report 1428/1428 lots with code_postal.,1428,1428,incomplete,Local Immo stats report 1267/1428 lots with civic address.,1428,1267,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
batiscan,batiscan,complete,Canonical local Immo perMuni stats row is present and reports 1224 served lots.,1224,complete,Local Immo stats report 1224/1224 lots with surface_m2.,1224,1224,complete,Local Immo stats report 1224/1224 lots with code_postal.,1224,1224,incomplete,Local Immo stats report 1119/1224 lots with civic address.,1224,1119,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
